n_qubits,depth,cost,n_init,n_params,mean_grad,mean_abs_grad,var_grad,grad_norm_mean,grad_norm_std,var_first_partial
2,2,global,3,8,-0.058114807109117116,0.13744563073936583,0.052089522633087214,0.7166683526955554,0.12517575202455375,0.006456844603387263
4,2,global,3,16,0.003231048428235119,0.07452615730377056,0.031628586325156804,0.6839041405567569,0.3206907376366619,0.25397493335891075
6,2,global,3,24,-0.0076270804079947435,0.04168987587870631,0.01220380504948818,0.5391902101819938,0.16562978199156347,0.0008354300587258079
