n_qubits,depth,cost,n_init,n_params,mean_grad,mean_abs_grad,within_gradient_entry_var_mean,grad_norm_mean,grad_norm_std,bp_var_first_partial_across_inits
2,2,local,3,8,0.0003738766150868401,0.11316352071700347,0.024808115998353267,0.4584229548626542,0.1264081694339427,0.0068086520514936515
4,2,local,3,16,-0.0011844136648254545,0.05338018065361939,0.006384772428516747,0.3173161684516598,0.05439011418087721,0.0019593279277636557
6,2,local,3,24,-0.006452163232431287,0.015465093201662524,0.0007031796894938999,0.12912853551215467,0.045132961216472256,0.001621082410605876
