n,cost_type,parameter_index,pl_grad_n_init,pl_grad_variance,pl_grad_ratio,pl_grad_rel_se_exact,pl_grad_z_mean,pl_grad_max_abs_diff_vs_closed_form,pl_ps_n_init,pl_ps_variance,pl_ps_ratio,pl_ps_rel_se_exact,pl_ps_z_mean,pl_ps_max_abs_diff_vs_closed_form,closed_form_mc_variance,closed_form_mc_ratio,theoretical_variance
2,global,0,1000,0.04724244350102946,1.0078387946886285,0.04380261029514872,-1.2986522614384828,1.1102230246251565e-16,10000,0.04833705508126104,1.0311905084002355,0.013845095473374919,-0.7583053778647261,2.498001805406602e-16,0.04619154420692144,0.9854196097476574,0.046875
2,local,0,1000,0.03163179793642325,1.012217533965544,0.022405401179224665,-1.4658953684431073,1.3877787807814457e-16,10000,0.03150595258186492,1.0081904826196775,0.0070724820254419885,-0.6292883344381404,2.0816681711721685e-16,0.031184537151301667,0.9979051888416534,0.03125
4,global,0,1000,0.00685542739784594,1.039993726725073,0.1001475041033659,0.9772717836122491,1.1102230246251565e-16,10000,0.007116762585714873,1.0796392426328933,0.03166657637973149,0.08060745182111437,2.3592239273284576e-16,0.006624531098121376,1.0049659028853761,0.006591796875
4,local,0,1000,0.0075872255967242555,0.9711648763807047,0.022405401179224665,1.5301420297912323,2.0816681711721685e-16,10000,0.007901791435873861,1.0114293037918543,0.0070724820254419885,-0.19865133555793468,2.0816681711721685e-16,0.007849304700762293,1.0047110016975735,0.0078125
6,global,0,1000,0.0006890545561937696,0.7433395785138253,0.2017314049319868,-1.5860328121929221,1.1102230246251565e-16,10000,0.0010414448561678054,1.1234918533961036,0.06379165913646802,-1.8637082522572457,1.5265566588595902e-16,0.0009663880024088938,1.042521878615132,0.000926971435546875
6,local,0,1000,0.0035255116951189366,1.0153473681942538,0.022405401179224665,-0.14916798371845968,1.942890293094024e-16,10000,0.003466856204947849,0.9984545870249806,0.0070724820254419885,-0.9609662160994678,2.1510571102112408e-16,0.003498931473472443,1.0076922643600636,0.003472222222222222
8,global,0,1000,0.00010256416241425802,0.7868043469058473,0.3957773132779727,-0.03997486619708122,2.7755575615628914e-17,10000,0.0001065942037758268,0.8177201559648202,0.12515505572030663,0.4396937649143468,1.3877787807814457e-16,0.0001514206521464109,1.1615989885327844,0.0001303553581237793
8,local,0,1000,0.0019137117887754525,0.9798204358530317,0.022405401179224665,-0.6398288101501217,3.0531133177191805e-16,10000,0.001944493019871747,0.9955804261743345,0.0070724820254419885,1.8613848792921532,2.636779683484747e-16,0.001937735594381531,0.9921206243233439,0.001953125
10,global,0,1000,1.309481197523788e-05,0.7143447287115259,0.7713680453421121,-0.6336448713014426,1.3877787807814457e-17,10000,1.6017211891701457e-05,0.8737667180810859,0.24392762438742172,0.7650781026799673,8.326672684688674e-17,1.6079136144019577e-05,0.8771447935591072,1.8331222236156464e-05
10,local,0,1000,0.0012212551268139145,0.9770041014511316,0.022405401179224658,0.3534383361218102,2.42861286636753e-16,10000,0.0012550920007781087,1.0040736006224869,0.007072482025441987,-0.4156808276629882,2.7755575615628914e-16,0.001244989932939832,0.9959919463518657,0.00125
