bin_low,bin_high,log10_abs_g_mid,benchmark,shots,n_in_bin,n_used,mean_p_zero,median_p_zero,mean_p_correct,median_p_correct,mean_p_wrong,mean_estimator_sd,mean_abs_g,mean_p_pos,mean_p_neg
-9.5,-9.0,-9.25,parity,64,237,237,0.07038609217001529,0.07038609217001489,0.4648069596455403,0.46480695953995765,0.46480694818444446,0.044194173824159244,6.360618195498746e-10,0.5000000000357215,0.4999999999642784
-9.5,-9.0,-9.25,parity,1024,237,237,0.017628772404873514,0.01762877240486446,0.4911856367614939,0.49118563633914736,0.49118559083363267,0.011048543456039811,6.360618195498746e-10,0.5000000000357215,0.4999999999642784
-9.5,-9.0,-9.25,parity,16384,237,237,0.004407697493292023,0.004407697493322685,0.4977962431245952,0.4977962414335708,0.49779605938211274,0.0027621358640099528,6.360618195498746e-10,0.5000000000357215,0.4999999999642784
-9.5,-9.0,-9.25,projector,64,4257,4000,0.9999993061830792,0.999999877998719,3.853182573643676e-07,1.0587326192465892e-07,3.0849866335692884e-07,3.837555382525566e-06,6.001532965504987e-10,5.420301496908345e-09,5.422709307382783e-09
-9.5,-9.0,-9.25,projector,1024,4257,4000,0.9999889314493339,0.9999980479819282,6.148828684385e-06,1.6939708149426363e-06,4.919721981645348e-06,9.593888456313914e-07,6.001532965504987e-10,5.420301496908345e-09,5.422709307382783e-09
-9.5,-9.0,-9.25,projector,16384,4257,4000,0.9998303508806932,0.9999687683313412,9.465656759010787e-05,2.7103180728058117e-05,7.499255171675228e-05,2.3984721140784786e-07,6.001532965504987e-10,5.420301496908345e-09,5.422709307382783e-09
-9.0,-8.5,-8.75,parity,64,373,373,0.07038609217001522,0.07038609217001489,0.46480697173737906,0.4648069713987687,0.4648069360926058,0.04419417382415924,1.978194717740289e-09,0.5000000000211366,0.4999999999788633
-9.0,-8.5,-8.75,parity,1024,373,373,0.017628772404874222,0.017628772404865555,0.4911856852174463,0.49118568385976163,0.4911855423776794,0.01104854345603981,1.978194717740289e-09,0.5000000000211366,0.4999999999788633
-9.0,-8.5,-8.75,parity,16384,373,373,0.0044076974932899145,0.004407697493319021,0.4977964369706637,0.49779643154084585,0.49779586553604627,0.0027621358640099523,1.978194717740289e-09,0.5000000000211366,0.4999999999788633
-9.0,-8.5,-8.75,projector,64,4856,4000,0.9999968087689061,0.9999996194485918,1.717056810210304e-06,3.314500030518847e-07,1.474174283801586e-06,6.879683202554149e-06,1.8975229339080676e-09,2.4942491265569274e-08,2.4977470977217875e-08
-9.0,-8.5,-8.75,projector,1024,4856,4000,0.9999497971226468,0.9999939111978635,2.7044449604344424e-05,5.3031850670315465e-06,2.3158427748990865e-05,1.7199208006385372e-06,1.8975229339080676e-09,2.4942491265569274e-08,2.4977470977217875e-08
-9.0,-8.5,-8.75,projector,16384,4856,4000,0.9993476911923642,0.9999025843866054,0.00035723177560553554,8.484712584533803e-05,0.0002950770320302279,4.299802001596343e-07,1.8975229339080676e-09,2.4942491265569274e-08,2.4977470977217875e-08
-8.5,-8.0,-8.25,parity,64,647,647,0.07038609217001417,0.07038609217001389,0.46480701029526955,0.46480700834912403,0.46480689753471616,0.04419417382415922,6.257925378414581e-09,0.5000000004613729,0.4999999995386271
-8.5,-8.0,-8.25,parity,1024,647,647,0.017628772404869476,0.017628772404863206,0.4911858397317107,0.4911858319335399,0.49118538786341975,0.011048543456039806,6.257925378414581e-09,0.5000000004613729,0.4999999995386271
-8.5,-8.0,-8.25,parity,16384,647,647,0.004407697493275359,0.004407697493290764,0.4977970550982962,0.4977970239002138,0.49779524740842845,0.0027621358640099515,6.257925378414581e-09,0.5000000004613729,0.4999999995386271
-8.5,-8.0,-8.25,projector,64,5620,4000,0.9999931149594639,0.9999988055793708,3.825460516384051e-06,1.0432376779871623e-06,3.0595800198785535e-06,1.185523254395839e-05,5.9834596428575186e-09,5.398902732714058e-08,5.389743839883318e-08
-8.5,-8.0,-8.25,projector,1024,5620,4000,0.9998941954990103,0.9999808894479427,5.902901474298955e-05,1.6691601538723336e-05,4.6775486246668464e-05,2.9638081359895974e-06,5.9834596428575186e-09,5.398902732714058e-08,5.389743839883318e-08
-8.5,-8.0,-8.25,projector,16384,5620,4000,0.9987246697711131,0.9996942767325294,0.0007356318302323128,0.00026701409792867774,0.000539698398654553,7.409520339973993e-07,5.9834596428575186e-09,5.398902732714058e-08,5.389743839883318e-08
-8.0,-7.5,-7.75,parity,64,1070,1070,0.07038609217000723,0.07038609217000838,0.46480713176822086,0.46480712732467383,0.4648067760617719,0.04419417382415918,1.974080776020544e-08,0.49999999923916516,0.5000000007608348
-8.0,-7.5,-7.75,parity,1024,1070,1070,0.01762877240484301,0.01762877240484601,0.49118632651393074,0.49118630870713714,0.49118490108122626,0.011048543456039795,1.974080776020544e-08,0.49999999923916516,0.5000000007608348
-8.0,-7.5,-7.75,parity,16384,1070,1070,0.004407697493160708,0.004407697493175849,0.4977990024502898,0.4977989312149831,0.4977933000565493,0.002762135864009949,1.974080776020544e-08,0.49999999923916516,0.5000000007608348
-8.0,-7.5,-7.75,projector,64,5980,4000,0.9999724057312227,0.9999962326764602,1.5015900581456117e-05,3.269179260322158e-06,1.2578368195799293e-05,2.1189901417459607e-05,1.9043551326187386e-08,2.197929434144804e-07,2.196735956974767e-07
-8.0,-7.5,-7.75,projector,1024,5980,4000,0.9996429988595531,0.9999397249809693,0.0001979965813733303,5.230479407716197e-05,0.00015900455907355308,5.297475354364902e-06,1.9043551326187386e-08,2.197929434144804e-07,2.196735956974767e-07
-8.0,-7.5,-7.75,projector,16384,5980,4000,0.9963075329098379,0.9990361517913727,0.0021575502552392003,0.0008363460316144091,0.001534916834922933,1.3243688385912254e-06,1.9043551326187386e-08,2.197929434144804e-07,2.196735956974767e-07
-7.5,-7.0,-7.25,parity,64,1688,1688,0.0703860921699385,0.07038609216994918,0.46480751290829486,0.46480749915241604,0.46480639492176673,0.04419417382415884,6.204542320865762e-08,0.49999999988671096,0.500000000113289
-7.5,-7.0,-7.25,parity,1024,1688,1688,0.017628772404567113,0.017628772404608764,0.49118785386834524,0.4911877987447908,0.4911833737270877,0.01104854345603971,6.204542320865762e-08,0.49999999988671096,0.500000000113289
-7.5,-7.0,-7.25,parity,16384,1688,1688,0.004407697492060725,0.004407697492232486,0.49780511256704557,0.49780489204595035,0.4977871899408938,0.0027621358640099276,6.204542320865762e-08,0.49999999988671096,0.500000000113289
-7.5,-7.0,-7.25,projector,64,6486,4000,0.9997456954138627,0.9999881521115026,0.0001309854466298831,1.039927452661793e-05,0.00012331913950742172,4.01997557333826e-05,5.990928894827562e-08,8.67316087402655e-06,8.674067867081137e-06
-7.5,-7.0,-7.25,projector,1024,6486,4000,0.9989640633285182,0.9998104513096797,0.000579265482220839,0.00016637478058181973,0.000456671189260929,1.004993893334565e-05,5.990928894827562e-08,8.67316087402655e-06,8.674067867081137e-06
