shots,replicates,p,trace_cov,trace_cov_theory,frobenius_norm,max_abs_offdiag,mean_abs_offdiag,trace_M_cov,trace_M_cov_theory,max_abs_offdiag_over_mean_diag
128,100,12,0.04259877831044825,0.0447085023865412,0.013356332964271148,0.0009901751893939396,0.0003476630316840278,5.452643623737376,5.7226883054772735,0.27893058777727764
512,100,12,0.011197324425283104,0.0111771255966353,0.0034388668637531064,0.0002137806439640547,7.415456220138172e-05,5.733030105744949,5.7226883054772735,0.22910542109293183
2048,100,12,0.0027197942348441686,0.002794281399158825,0.0008332669874505733,4.8099093967013886e-05,1.7942150762258484e-05,5.570138592960857,5.7226883054772735,0.21221793921378646
