k,layer,qubit,rot,shots,replicate,g_hat,g_exact,xi
0,0,0,0,64,0,0.09375,0.03313590236482501,0.06061409763517499
0,0,0,0,64,1,0.28125,0.03313590236482501,0.248114097635175
0,0,0,0,64,2,-0.09375,0.03313590236482501,-0.126885902364825
0,0,0,0,64,3,-0.03125,0.03313590236482501,-0.06438590236482501
0,0,0,0,64,4,0.03125,0.03313590236482501,-0.0018859023648250123
0,0,0,0,64,5,-0.03125,0.03313590236482501,-0.06438590236482501
0,0,0,0,64,6,-0.125,0.03313590236482501,-0.158135902364825
0,0,0,0,64,7,-0.1875,0.03313590236482501,-0.220635902364825
0,0,0,0,64,8,0.0625,0.03313590236482501,0.029364097635174988
0,0,0,0,64,9,0.0,0.03313590236482501,-0.03313590236482501
0,0,0,0,64,10,0.078125,0.03313590236482501,0.04498909763517499
0,0,0,0,64,11,0.046875,0.03313590236482501,0.013739097635174988
0,0,0,0,64,12,0.0625,0.03313590236482501,0.029364097635174988
0,0,0,0,64,13,-0.109375,0.03313590236482501,-0.142510902364825
0,0,0,0,64,14,-0.046875,0.03313590236482501,-0.08001090236482501
0,0,0,0,64,15,0.03125,0.03313590236482501,-0.0018859023648250123
0,0,0,0,64,16,0.0625,0.03313590236482501,0.029364097635174988
0,0,0,0,64,17,0.03125,0.03313590236482501,-0.0018859023648250123
0,0,0,0,64,18,-0.0625,0.03313590236482501,-0.09563590236482501
0,0,0,0,64,19,0.046875,0.03313590236482501,0.013739097635174988
0,0,0,0,64,20,0.046875,0.03313590236482501,0.013739097635174988
0,0,0,0,64,21,0.21875,0.03313590236482501,0.185614097635175
0,0,0,0,64,22,0.203125,0.03313590236482501,0.169989097635175
0,0,0,0,64,23,0.0,0.03313590236482501,-0.03313590236482501
0,0,0,0,64,24,0.0,0.03313590236482501,-0.03313590236482501
0,0,0,0,64,25,0.03125,0.03313590236482501,-0.0018859023648250123
0,0,0,0,64,26,0.078125,0.03313590236482501,0.04498909763517499
0,0,0,0,64,27,-0.046875,0.03313590236482501,-0.08001090236482501
0,0,0,0,64,28,-0.03125,0.03313590236482501,-0.06438590236482501
0,0,0,0,64,29,-0.03125,0.03313590236482501,-0.06438590236482501
0,0,0,0,64,30,0.09375,0.03313590236482501,0.06061409763517499
0,0,0,0,64,31,0.140625,0.03313590236482501,0.10748909763517499
0,0,0,0,64,32,0.09375,0.03313590236482501,0.06061409763517499
0,0,0,0,64,33,0.078125,0.03313590236482501,0.04498909763517499
0,0,0,0,64,34,0.171875,0.03313590236482501,0.138739097635175
0,0,0,0,64,35,-0.109375,0.03313590236482501,-0.142510902364825
0,0,0,0,64,36,0.046875,0.03313590236482501,0.013739097635174988
0,0,0,0,64,37,0.015625,0.03313590236482501,-0.017510902364825012
0,0,0,0,64,38,-0.015625,0.03313590236482501,-0.04876090236482501
0,0,0,0,64,39,-0.03125,0.03313590236482501,-0.06438590236482501
0,0,0,0,64,40,-0.03125,0.03313590236482501,-0.06438590236482501
0,0,0,0,64,41,0.09375,0.03313590236482501,0.06061409763517499
0,0,0,0,64,42,0.03125,0.03313590236482501,-0.0018859023648250123
0,0,0,0,64,43,-0.03125,0.03313590236482501,-0.06438590236482501
0,0,0,0,64,44,-0.015625,0.03313590236482501,-0.04876090236482501
0,0,0,0,64,45,0.109375,0.03313590236482501,0.07623909763517499
0,0,0,0,64,46,0.125,0.03313590236482501,0.09186409763517499
0,0,0,0,64,47,0.078125,0.03313590236482501,0.04498909763517499
0,0,0,0,64,48,-0.078125,0.03313590236482501,-0.11126090236482501
0,0,0,0,64,49,0.109375,0.03313590236482501,0.07623909763517499
0,0,0,0,64,50,-0.1875,0.03313590236482501,-0.220635902364825
0,0,0,0,64,51,0.03125,0.03313590236482501,-0.0018859023648250123
0,0,0,0,64,52,-0.03125,0.03313590236482501,-0.06438590236482501
0,0,0,0,64,53,0.03125,0.03313590236482501,-0.0018859023648250123
0,0,0,0,64,54,0.15625,0.03313590236482501,0.12311409763517499
0,0,0,0,64,55,0.015625,0.03313590236482501,-0.017510902364825012
0,0,0,0,64,56,-0.046875,0.03313590236482501,-0.08001090236482501
0,0,0,0,64,57,0.109375,0.03313590236482501,0.07623909763517499
0,0,0,0,64,58,0.03125,0.03313590236482501,-0.0018859023648250123
0,0,0,0,64,59,0.109375,0.03313590236482501,0.07623909763517499
0,0,0,0,64,60,0.03125,0.03313590236482501,-0.0018859023648250123
0,0,0,0,64,61,-0.09375,0.03313590236482501,-0.126885902364825
0,0,0,0,64,62,-0.03125,0.03313590236482501,-0.06438590236482501
0,0,0,0,64,63,0.0625,0.03313590236482501,0.029364097635174988
0,0,0,0,64,64,0.0625,0.03313590236482501,0.029364097635174988
0,0,0,0,64,65,0.046875,0.03313590236482501,0.013739097635174988
0,0,0,0,64,66,0.0625,0.03313590236482501,0.029364097635174988
0,0,0,0,64,67,-0.046875,0.03313590236482501,-0.08001090236482501
0,0,0,0,64,68,0.109375,0.03313590236482501,0.07623909763517499
0,0,0,0,64,69,-0.109375,0.03313590236482501,-0.142510902364825
0,0,0,0,64,70,0.171875,0.03313590236482501,0.138739097635175
0,0,0,0,64,71,0.046875,0.03313590236482501,0.013739097635174988
0,0,0,0,64,72,0.140625,0.03313590236482501,0.10748909763517499
0,0,0,0,64,73,0.09375,0.03313590236482501,0.06061409763517499
0,0,0,0,64,74,0.0625,0.03313590236482501,0.029364097635174988
0,0,0,0,64,75,-0.03125,0.03313590236482501,-0.06438590236482501
0,0,0,0,64,76,-0.03125,0.03313590236482501,-0.06438590236482501
0,0,0,0,64,77,-0.015625,0.03313590236482501,-0.04876090236482501
0,0,0,0,64,78,0.015625,0.03313590236482501,-0.017510902364825012
0,0,0,0,64,79,0.0,0.03313590236482501,-0.03313590236482501
0,0,0,0,64,80,-0.015625,0.03313590236482501,-0.04876090236482501
0,0,0,0,64,81,0.015625,0.03313590236482501,-0.017510902364825012
0,0,0,0,64,82,0.015625,0.03313590236482501,-0.017510902364825012
0,0,0,0,64,83,0.125,0.03313590236482501,0.09186409763517499
0,0,0,0,64,84,0.140625,0.03313590236482501,0.10748909763517499
0,0,0,0,64,85,0.046875,0.03313590236482501,0.013739097635174988
0,0,0,0,64,86,0.0625,0.03313590236482501,0.029364097635174988
0,0,0,0,64,87,0.0625,0.03313590236482501,0.029364097635174988
0,0,0,0,64,88,0.046875,0.03313590236482501,0.013739097635174988
0,0,0,0,64,89,-0.078125,0.03313590236482501,-0.11126090236482501
0,0,0,0,64,90,0.0,0.03313590236482501,-0.03313590236482501
0,0,0,0,64,91,0.078125,0.03313590236482501,0.04498909763517499
0,0,0,0,64,92,-0.078125,0.03313590236482501,-0.11126090236482501
0,0,0,0,64,93,-0.046875,0.03313590236482501,-0.08001090236482501
0,0,0,0,64,94,0.046875,0.03313590236482501,0.013739097635174988
0,0,0,0,64,95,0.15625,0.03313590236482501,0.12311409763517499
0,0,0,0,64,96,0.09375,0.03313590236482501,0.06061409763517499
0,0,0,0,64,97,0.15625,0.03313590236482501,0.12311409763517499
0,0,0,0,64,98,0.0625,0.03313590236482501,0.029364097635174988
0,0,0,0,64,99,0.0,0.03313590236482501,-0.03313590236482501
0,0,0,0,64,100,0.015625,0.03313590236482501,-0.017510902364825012
0,0,0,0,64,101,0.171875,0.03313590236482501,0.138739097635175
0,0,0,0,64,102,0.015625,0.03313590236482501,-0.017510902364825012
0,0,0,0,64,103,0.03125,0.03313590236482501,-0.0018859023648250123
0,0,0,0,64,104,0.046875,0.03313590236482501,0.013739097635174988
0,0,0,0,64,105,0.015625,0.03313590236482501,-0.017510902364825012
0,0,0,0,64,106,0.234375,0.03313590236482501,0.201239097635175
0,0,0,0,64,107,0.265625,0.03313590236482501,0.232489097635175
0,0,0,0,64,108,0.0625,0.03313590236482501,0.029364097635174988
0,0,0,0,64,109,0.046875,0.03313590236482501,0.013739097635174988
0,0,0,0,64,110,0.078125,0.03313590236482501,0.04498909763517499
0,0,0,0,64,111,0.109375,0.03313590236482501,0.07623909763517499
0,0,0,0,64,112,0.140625,0.03313590236482501,0.10748909763517499
0,0,0,0,64,113,-0.015625,0.03313590236482501,-0.04876090236482501
0,0,0,0,64,114,0.171875,0.03313590236482501,0.138739097635175
0,0,0,0,64,115,-0.078125,0.03313590236482501,-0.11126090236482501
0,0,0,0,64,116,0.015625,0.03313590236482501,-0.017510902364825012
0,0,0,0,64,117,0.0,0.03313590236482501,-0.03313590236482501
0,0,0,0,64,118,0.046875,0.03313590236482501,0.013739097635174988
0,0,0,0,64,119,0.03125,0.03313590236482501,-0.0018859023648250123
0,0,0,0,64,120,0.140625,0.03313590236482501,0.10748909763517499
0,0,0,0,64,121,-0.078125,0.03313590236482501,-0.11126090236482501
0,0,0,0,64,122,-0.03125,0.03313590236482501,-0.06438590236482501
0,0,0,0,64,123,0.046875,0.03313590236482501,0.013739097635174988
0,0,0,0,64,124,0.109375,0.03313590236482501,0.07623909763517499
0,0,0,0,64,125,0.140625,0.03313590236482501,0.10748909763517499
0,0,0,0,64,126,0.109375,0.03313590236482501,0.07623909763517499
0,0,0,0,64,127,0.078125,0.03313590236482501,0.04498909763517499
0,0,0,0,64,128,-0.015625,0.03313590236482501,-0.04876090236482501
0,0,0,0,64,129,0.203125,0.03313590236482501,0.169989097635175
