shots,quantity,slope_dlog_dn,factor_per_qubit,intercept
16,gnorm_median,-1.237431930261815,0.2901283318511064,1.8489352950142215
16,trace_sigma_median,-1.1077932701140778,0.3302870116938501,-0.9085655662845353
16,nsr_median,0.6937642365189443,2.001234492754383,-2.408806596186706
64,gnorm_median,-1.237431930261815,0.2901283318511064,1.8489352950142215
64,trace_sigma_median,-1.1077932701140778,0.3302870116938501,-2.294859927404425
64,nsr_median,0.6937642365189443,2.001234492754383,-3.101953776746651
256,gnorm_median,-1.237431930261815,0.2901283318511064,1.8489352950142215
256,trace_sigma_median,-1.1077932701140778,0.3302870116938501,-3.681154288524317
256,nsr_median,0.6937642365189441,2.001234492754383,-3.7951009573065955
1024,gnorm_median,-1.237431930261815,0.2901283318511064,1.8489352950142215
1024,trace_sigma_median,-1.1077932701140778,0.3302870116938501,-5.067448649644207
1024,nsr_median,0.693764236518944,2.0012344927543824,-4.48824813786654
