n,method,eta,shots,sigma_step,primary,role,n_runs,n_start_seeds,median_log10_gain_best,iqr_low_gain_best,iqr_high_gain_best,mean_log10_gain_best,median_log10_gain_final,iqr_low_gain_final,iqr_high_gain_final,median_F0,median_F_best,median_F_final,n_eligible_F0.01,p_hit_F0.01,p_hit_F0.01_ci_low,p_hit_F0.01_ci_high,median_iter_to_F0.01,median_shots_to_F0.01,min_shots_to_F0.01,max_shots_to_F0.01,median_circuit_evals_to_F0.01,min_circuit_evals_to_F0.01,max_circuit_evals_to_F0.01,n_eligible_F0.1,p_hit_F0.1,p_hit_F0.1_ci_low,p_hit_F0.1_ci_high,median_iter_to_F0.1,median_shots_to_F0.1,min_shots_to_F0.1,max_shots_to_F0.1,median_circuit_evals_to_F0.1,min_circuit_evals_to_F0.1,max_circuit_evals_to_F0.1,n_eligible_F0.5,p_hit_F0.5,p_hit_F0.5_ci_low,p_hit_F0.5_ci_high,median_iter_to_F0.5,median_shots_to_F0.5,min_shots_to_F0.5,max_shots_to_F0.5,median_circuit_evals_to_F0.5,min_circuit_evals_to_F0.5,max_circuit_evals_to_F0.5,p_10xF0,p_10xF0_ci_low,p_10xF0_ci_high,median_iter_to_10xF0,p_100xF0,p_100xF0_ci_low,p_100xF0_ci_high,median_iter_to_100xF0
6,constant_langevin,0.0,,0.1,False,control_pure_diffusion,500,100,2.736582385615334,1.5611817690329692,3.8645225809915322,2.9431275762595055,0.07896429277829986,-1.782738147156104,1.831947691039391,0.00033225035065695,0.20711796050107228,0.0004105783981792,410,0.9975609756097561,0.9863154681899297,0.9995693224800525,189.0,0.0,0.0,0.0,0.0,0.0,0.0,485,0.7917525773195876,0.7533914249417332,0.8255283759334288,563.5,0.0,0.0,0.0,0.0,0.0,0.0,500,0.096,0.07317350466541904,0.12498696242751521,1027.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8948453608247423,0.8643734035267476,0.9191116980110159,35.0,0.8,0.7585766180412018,0.8358539175098169,121.5
6,constant_langevin,0.3,,0.1,True,primary,500,100,3.4479630046648753,2.2307351859769606,4.587554197646337,3.66709904790923,3.436043540556895,2.2080584364612705,4.555548993510495,0.00033225035065695,0.9973879884533388,0.9497769277036505,410,1.0,0.9907175592516977,1.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,485,0.9958762886597938,0.9850906959554662,0.9988684002316468,175.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.996,0.9855342847848231,0.9989023694773173,182.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.992141708213617,1.0,27.0,1.0,0.9907175592516977,1.0,89.0
6,exact_gd,0.3,,,False,control_exact_gd_matched_eta,100,100,2.258925639541098,1.144033057072417,3.464003405209244,2.2839655145838322,2.258925639541098,1.144033057072417,3.464003405209244,0.00033225035065695,1.0,1.0,82,0.7073170731707317,0.601342395864779,0.7947366138246916,198.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0.7422680412371134,0.6471740604185197,0.8189040839245778,136.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.75,0.656955364519384,0.8245478863771232,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8041237113402062,0.7142162230627421,0.8708605964317845,102.5,0.7195121951219512,0.6141492754244032,0.8052284995409186,259.0
6,exact_gd,1.0,,,True,primary,100,100,2.5981482784804686,1.4943281559083474,3.932857657135413,2.62804987359309,2.5981482784804686,1.4943281559083474,3.932857657135413,0.00033225035065695,1.0,1.0,82,0.7804878048780488,0.6794794576232296,0.8563921437213483,73.0,0.0,0.0,0.0,0.0,0.0,0.0,97,0.8144329896907216,0.7256389658130932,0.8792709662066717,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.82,0.7333264161369926,0.8829977450105364,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8556701030927835,0.7722059515958346,0.9120364305248829,43.0,0.8170731707317073,0.7198781157085605,0.8858897814635709,92.0
6,matched_gaussian,0.3,16.0,,False,shot_budget_sweep,500,100,2.2138848287966164,1.1420949836697851,3.3750590774809544,2.2533118480418817,2.212287428413056,1.140948847972025,3.3740410012779773,0.00033225035065695,0.9997753597966056,0.9954076147235276,410,0.6780487804878049,0.6313507913043002,0.7214413151609387,193.0,0.0,0.0,0.0,0.0,0.0,0.0,485,0.7216494845360825,0.6801391085295542,0.7596762878950388,126.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.73,0.6894413425907917,0.7670514607968943,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7896907216494845,0.7512164322720105,0.8236120625898995,108.0,0.6926829268292682,0.6464063530258822,0.7353823649296499,247.0
6,matched_gaussian,0.3,64.0,,True,primary,500,100,2.258905205960816,1.1805956795498684,3.5109628556270307,2.304722339198934,2.258376526627095,1.1804989338451621,3.5104719357474155,0.00033225035065695,0.9999451775563177,0.9988757567775328,410,0.7024390243902439,0.6564721152874184,0.7446476769949761,190.5,0.0,0.0,0.0,0.0,0.0,0.0,485,0.7443298969072165,0.7036911237173986,0.7811286388529668,137.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.752,0.7123215407533253,0.7878357916540525,147.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7958762886597938,0.7577455887483279,0.8293568241533381,105.0,0.7146341463414634,0.6690877387820927,0.7561958964088799,246.0
6,matched_gaussian,0.3,256.0,,False,shot_budget_sweep,500,100,2.2625650996143727,1.142143924982033,3.4639991837510093,2.284193665898742,2.2624853104541964,1.1420974211370083,3.4639389726774703,0.00033225035065695,0.9999860624583932,0.9997352931982394,410,0.7048780487804878,0.6589922342167814,0.7469603266473287,200.0,0.0,0.0,0.0,0.0,0.0,0.0,485,0.7422680412371134,0.7015445887384278,0.7791838678186856,137.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.75,0.7102363265170449,0.785951503252179,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7917525773195876,0.7533914249417332,0.8255283759334288,102.0,0.7121951219512195,0.6665615862699157,0.7538892803393413,254.0
6,matched_gaussian,0.3,1024.0,,False,shot_budget_sweep,500,100,2.258924289668965,1.1748821541718888,3.4640021228496813,2.2836827746791752,2.258893098545032,1.1748567080913326,3.4639615269483404,0.00033225035065695,0.9999967200408102,0.999929517926594,410,0.7,0.6539534778449969,0.7423335458556821,194.0,0.0,0.0,0.0,0.0,0.0,0.0,485,0.7422680412371134,0.7015445887384278,0.7791838678186856,138.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.75,0.7102363265170449,0.785951503252179,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.797938144329897,0.759924790675177,0.8312689282397413,102.0,0.7146341463414634,0.6690877387820927,0.7561958964088799,257.0
6,noise_only,0.3,16.0,,False,shot_budget_sweep,500,100,0.3031854441528369,0.10021313822289432,0.7072376933847673,0.46226870408600995,-0.040610082427762303,-0.41721824862555856,0.3382587652496188,0.00033225035065695,0.00122003728562525,0.00025184944104845,410,0.1878048780487805,0.15296307386381947,0.228442547676584,310.0,0.0,0.0,0.0,0.0,0.0,0.0,485,0.05567010309278351,0.038538741541092436,0.07978481260309529,741.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,4.336808689942018e-19,0.007624340461552241,,,,,,,,0.1463917525773196,0.11771096202663538,0.18063005670064158,807.0,0.00975609756097561,0.0038003124825935035,0.0248132025925713,653.5
6,noise_only,0.3,64.0,,True,primary,500,100,0.16848374610019975,0.06921796045299117,0.3957895821899422,0.27768499674502245,0.013830150887816351,-0.19378503590563909,0.17839594373410061,0.00033225035065695,0.00090227485271505,0.00026411958986280004,410,0.13170731707317074,0.10236575589537678,0.16788618826556795,494.0,0.0,0.0,0.0,0.0,0.0,0.0,485,0.030927835051546393,0.01883070211035324,0.05039717987481014,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,4.336808689942018e-19,0.007624340461552241,,,,,,,,0.03917525773195876,0.0252208806625146,0.060372225375656896,950.0,0.0,0.0,0.009282440748302413,
