n,theta_seed,theta_scale,F_theta,shots,k,reps,g_exact,mean_pennylane,mean_binomial,z_mean_pl_vs_binomial,z_mean_pl_vs_exact,z_mean_binomial_vs_exact,var_pennylane,var_binomial,var_theory,var_ratio_pl_over_binomial,var_ratio_pl_over_theory,var_ratio_binomial_over_theory,approx_sd_of_var_ratio,degenerate_all_zero
3,11,1.0,0.1439555565968224,64,0,400,-0.0753510223748383,-0.07626953125,-0.0766015625,0.18499760596492443,-0.7376400102235617,-0.9674832606447606,0.0006202085872640586,0.0006682951886552319,0.0006063437477314102,0.9280458662467181,1.02286630246378,1.1021721443580617,0.10012523486435178,False
3,11,1.0,0.1439555565968224,64,2,400,0.07570108091306987,0.07501953125,0.07576171875,-0.4543920694726424,-0.5757821401222056,0.053876439846031965,0.0005604522628592966,0.0005066984936707002,0.0006071020651403745,1.106086301538387,0.9231598688924053,0.834618300225253,0.10012523486435178,False
3,11,1.0,0.1439555565968224,256,0,400,-0.0753510223748383,-0.07642578125,-0.075263671875,-1.3939446917732023,-1.821539620381868,0.14830833889769812,0.00013925308571722275,0.00013875851356296015,0.00015158593693285254,1.0035642652948873,0.9186411914906537,0.9153785395305205,0.10012523486435178,False
3,11,1.0,0.1439555565968224,256,2,400,0.07570108091306987,0.0761962890625,0.0742138671875,2.3366772562448306,0.844539949428851,-2.425544616807582,0.00013752927756249754,0.0001503793577801315,0.00015177551628509363,0.9145489087909129,0.906136120823097,0.9908011612206306,0.10012523486435178,False
3,11,1.0,0.1439555565968224,1024,0,400,-0.0753510223748383,-0.0758154296875,-0.0754248046875,-0.8538903761544532,-1.3981381440872593,-0.2345629138516281,4.413243821987831e-05,3.957726901635192e-05,3.7896484233213136e-05,1.115095591907677,1.1645523090820091,1.044351997741936,0.10012523486435178,False
3,11,1.0,0.1439555565968224,1024,2,400,0.07570108091306987,0.0755615234375,0.075494384765625,0.1600751975349144,-0.45649993279681816,-0.7198286943942581,3.73839136950653e-05,3.298119942944749e-05,3.794387907127341e-05,1.133491635895049,0.9852422738551249,0.8692100079566439,0.10012523486435178,False
3,11,0.4,0.768978323897702,64,0,400,-0.15019320203395695,-0.1511328125,-0.15197265625,0.29032637181556076,-0.45765306162424163,-0.8732053045984236,0.0016860984859609965,0.00166111958056763,0.001697442388278538,1.015037391459097,0.9933170619539872,0.9786014488846689,0.10012523486435178,False
3,11,0.4,0.768978323897702,64,2,400,0.15080219606318526,0.150703125,0.15443359375,-1.3180177466091392,-0.0499702272421152,1.7977557439453082,0.00157228398143797,0.001632098052137179,0.001696198011841597,0.9633514232671962,0.9269460112919888,0.9622096245503652,0.10012523486435178,False
3,11,0.4,0.768978323897702,256,0,400,-0.15019320203395695,-0.15029296875,-0.150439453125,0.10288747205597773,-0.09975858846187013,-0.24300968700640715,0.00040006518065182495,0.0004107420307054257,0.0004243605970696345,0.9740059471506632,0.9427481802373304,0.967908032795104,0.10012523486435178,False
3,11,0.4,0.768978323897702,256,2,400,0.15080219606318526,0.15033203125,0.1512158203125,-0.6122776707468429,-0.4657252274850623,0.4009204959642707,0.0004076624514166275,0.00042575078500542126,0.00042404950296039926,0.9575142683798846,0.961355805326101,1.0040119892445218,0.10012523486435178,False
