n,shots,samples,eta_ref,F_median,gnorm_median,gnorm_q25,gnorm_q75,trace_sigma_median,rms_noise_per_component_median,nsr_median,nsr_q05,nsr_q25,nsr_q75,nsr_q95,frac_nsr_gt_1,det_step_norm_median,stoch_step_norm_median
4,16,5000,0.1,0.007901169601946284,0.03906296251775525,0.005737581778972907,0.15116515427645133,0.0037607475981572365,0.030662467190571793,1.472995752496248,0.32005409335785606,0.5901849792864482,5.434546050748833,72.49459606885877,0.596,0.003906296251775525,0.006132493438114359
4,64,5000,0.1,0.007901169601946284,0.03906296251775525,0.005737581778972907,0.15116515427645133,0.0009401868995393091,0.015331233595285897,0.736497876248124,0.16002704667892803,0.2950924896432241,2.7172730253744164,36.247298034429384,0.4292,0.003906296251775525,0.0030662467190571796
4,256,5000,0.1,0.007901169601946284,0.03906296251775525,0.005737581778972907,0.15116515427645133,0.00023504672488482728,0.007665616797642948,0.368248938124062,0.08001352333946402,0.14754624482161205,1.3586365126872082,18.123649017214692,0.3016,0.003906296251775525,0.0015331233595285898
4,1024,5000,0.1,0.007901169601946284,0.03906296251775525,0.005737581778972907,0.15116515427645133,5.876168122120682e-05,0.003832808398821474,0.184124469062031,0.04000676166973201,0.07377312241080602,0.6793182563436041,9.061824508607346,0.196,0.003906296251775525,0.0007665616797642949
6,16,5000,0.1,0.0005474343577420659,0.004239153192236365,0.0003181469462550169,0.028632196482296472,0.0006200476835031694,0.010165690759370313,5.668390934948075,0.6029784433855172,1.7404242056978776,28.008411783087816,507.6813839837966,0.8636,0.0004239153192236365,0.002490075524338332
6,64,5000,0.1,0.0005474343577420659,0.004239153192236365,0.0003181469462550169,0.028632196482296472,0.00015501192087579235,0.0050828453796851565,2.8341954674740375,0.3014892216927586,0.8702121028489388,14.004205891543908,253.8406919918983,0.7206,0.0004239153192236365,0.001245037762169166
6,256,5000,0.1,0.0005474343577420659,0.004239153192236365,0.0003181469462550169,0.028632196482296472,3.875298021894809e-05,0.0025414226898425782,1.4170977337370187,0.1507446108463793,0.4351060514244694,7.002102945771954,126.92034599594915,0.5684,0.0004239153192236365,0.000622518881084583
6,1024,5000,0.1,0.0005474343577420659,0.004239153192236365,0.0003181469462550169,0.028632196482296472,9.688245054737022e-06,0.0012707113449212891,0.7085488668685094,0.07537230542318965,0.2175530257122347,3.501051472885977,63.460172997974574,0.4376,0.0004239153192236365,0.0003112594405422915
8,16,5000,0.1,3.352338487410817e-05,0.0003547054431999204,1.7189453897177616e-05,0.0036263239475323628,7.018811107710606e-05,0.0029620114818137318,22.506295548744383,1.244198128510535,5.689834792466262,134.2747275400755,4662.203722381896,0.9686,3.5470544319992045e-05,0.0008377833618971615
8,64,5000,0.1,3.352338487410817e-05,0.0003547054431999204,1.7189453897177616e-05,0.0036263239475323628,1.7547027769276516e-05,0.0014810057409068659,11.253147774372191,0.6220990642552675,2.844917396233131,67.13736377003775,2331.101861190948,0.9024,3.5470544319992045e-05,0.00041889168094858074
8,256,5000,0.1,3.352338487410817e-05,0.0003547054431999204,1.7189453897177616e-05,0.0036263239475323628,4.386756942319129e-06,0.0007405028704534329,5.626573887186096,0.31104953212763375,1.4224586981165654,33.568681885018876,1165.550930595474,0.8108,3.5470544319992045e-05,0.00020944584047429037
8,1024,5000,0.1,3.352338487410817e-05,0.0003547054431999204,1.7189453897177616e-05,0.0036263239475323628,1.0966892355797822e-06,0.00037025143522671647,2.813286943593048,0.15552476606381688,0.7112293490582827,16.784340942509438,582.775465297737,0.6924,3.5470544319992045e-05,0.00010472292023714518
10,16,5000,0.1,1.8636228266717294e-06,2.732742244083505e-05,8.52249406885571e-07,0.00042894980327618144,6.557533207430353e-06,0.0008097858761474399,95.22944535819558,3.1235042509350737,18.84989457498976,681.2192891905687,27706.60479535327,0.9946,2.732742244083505e-06,0.0002560767785660927
10,64,5000,0.1,1.8636228266717294e-06,2.732742244083505e-05,8.52249406885571e-07,0.00042894980327618144,1.6393833018575883e-06,0.00040489293807371995,47.61472267909779,1.5617521254675368,9.42494728749488,340.60964459528435,13853.302397676634,0.9754,2.732742244083505e-06,0.00012803838928304636
10,256,5000,0.1,1.8636228266717294e-06,2.732742244083505e-05,8.52249406885571e-07,0.00042894980327618144,4.0984582546439707e-07,0.00020244646903685998,23.807361339548894,0.7808760627337684,4.71247364374744,170.30482229764218,6926.651198838317,0.929,2.732742244083505e-06,6.401919464152318e-05
10,1024,5000,0.1,1.8636228266717294e-06,2.732742244083505e-05,8.52249406885571e-07,0.00042894980327618144,1.0246145636609927e-07,0.00010122323451842999,11.903680669774447,0.3904380313668842,2.35623682187372,85.15241114882109,3463.3255994191586,0.8642,2.732742244083505e-06,3.200959732076159e-05
12,16,5000,0.1,1.227082729857646e-07,2.0559228189269353e-06,4.358611734153343e-08,5.071572180388503e-05,5.649778728856647e-07,0.0002169826815538746,370.27599795633284,7.431627561582939,60.61772825454345,3446.710179440077,151186.86729781874,0.9994,2.0559228189269355e-07,7.516500576276981e-05
12,64,5000,0.1,1.227082729857646e-07,2.0559228189269353e-06,4.358611734153343e-08,5.071572180388503e-05,1.4124446822141618e-07,0.0001084913407769373,185.13799897816642,3.7158137807914695,30.308864127271725,1723.3550897200384,75593.43364890937,0.9954,2.0559228189269355e-07,3.7582502881384904e-05
12,256,5000,0.1,1.227082729857646e-07,2.0559228189269353e-06,4.358611734153343e-08,5.071572180388503e-05,3.5311117055354045e-08,5.424567038846865e-05,92.56899948908321,1.8579068903957348,15.154432063635863,861.6775448600192,37796.716824454685,0.9762,2.0559228189269355e-07,1.8791251440692452e-05
12,1024,5000,0.1,1.227082729857646e-07,2.0559228189269353e-06,4.358611734153343e-08,5.071572180388503e-05,8.827779263838511e-09,2.7122835194234324e-05,46.284499744541606,0.9289534451978674,7.577216031817931,430.8387724300096,18898.358412227342,0.9438,2.0559228189269355e-07,9.395625720346226e-06
