k,layer,qubit,rot,n_replicates,shots,g_exact,mean_g_hat,bias,mean_xi,var_xi_emp,std_xi_emp,var_xi_theory,var_ratio_emp_over_theory,se_mean_xi,z_mean_xi,ci95_low,ci95_high,M_times_var_emp,M_times_var_theory
2,0,1,0,200,64,-0.18740256624278084,-0.187109375,0.0002931912427808492,0.00029319124278084365,0.006061649801743091,0.07785659767638893,0.0075381271731689075,0.8041320692119434,0.005505292817708741,0.053256248575505837,-0.010496984404275322,0.01108336688983701,0.3879455873115578,0.4824401390828101
2,0,1,0,200,128,-0.18740256624278084,-0.1901171875,-0.002714621257219163,-0.0027146212572191565,0.003982484136993561,0.06310692622045191,0.0037690635865844538,1.0566242902265575,0.004462333547032069,-0.6083411803729175,-0.011460634296406882,0.00603139178196857,0.5097579695351758,0.4824401390828101
2,0,1,0,200,256,-0.18740256624278084,-0.1903515625,-0.002948996257219144,-0.0029489962572191563,0.0019572211030739637,0.044240491668537815,0.0018845317932922269,1.0385715486681977,0.003128275166185005,-0.9426908122073919,-0.009080302916672818,0.003182310402234505,0.5010486023869347,0.4824401390828101
2,0,1,0,200,512,-0.18740256624278084,-0.186474609375,0.0009279568677808547,0.0009279568677808437,0.0010414291266819939,0.03227118105495976,0.0009422658966461134,1.1052391160380954,0.002281917096086089,0.4066566964121799,-0.003544518456254117,0.005400432191815804,0.5332117128611809,0.4824401390828101
2,0,1,0,200,1024,-0.18740256624278084,-0.1902490234375,-0.002846457194719154,-0.0028464571947191563,0.0005049784818486352,0.022471726276559956,0.0004711329483230567,1.071838604466208,0.001588991003512347,-1.7913614289994553,-0.005960822333361515,0.00026790794392320214,0.5170979654130025,0.4824401390828101
2,0,1,0,200,2048,-0.18740256624278084,-0.18612060546875,0.001281960774030838,0.0012819607740308437,0.00024625988461863456,0.015692669773452652,0.00023556647416152836,1.0453944496778167,0.0011096393211729532,1.155295013045984,-0.0008928923312976184,0.003456813879359306,0.5043402436989636,0.4824401390828101
3,0,1,1,200,64,0.6213157364442095,0.623046875,0.0017311385557905457,0.0017311385557905457,0.0044385440385521354,0.06662239892522735,0.004788057803966935,0.927003018817938,0.004710915005894362,0.367473952220433,-0.0075020851899917,0.010964362301572791,0.28406681846733667,0.3064356994538838
3,0,1,1,200,128,0.6213157364442095,0.625703125,0.004387388555790572,0.004387388555790545,0.0021667112417556537,0.04654794562336402,0.0023940289019834674,0.9050480718760414,0.0032914368000583373,1.3329706211320185,-0.0020637090297135584,0.01083848614129465,0.27733903894472367,0.3064356994538838
3,0,1,1,200,256,0.6213157364442095,0.62166015625,0.0003444198057905856,0.00034441980579054567,0.0013503487745122093,0.036747092055184574,0.0011970144509917337,1.128097303581788,0.0025984117981107317,0.1325501239029812,-0.0047483737355104505,0.005437213347091542,0.3456892862751256,0.3064356994538838
3,0,1,1,200,512,0.6213157364442095,0.619931640625,-0.0013840958192095076,-0.0013840958192094543,0.0006379591400299839,0.025257853036827652,0.0005985072254958668,1.065917190058033,0.0017859999160554066,-0.7749697000358179,-0.004884591331069612,0.0021163996926507026,0.32663507969535177,0.3064356994538838
3,0,1,1,200,1024,0.6213157364442095,0.6228369140625,0.0015211776182905146,0.0015211776182905456,0.0003023567151783699,0.01738840749402802,0.0002992536127479334,1.010369473577752,0.0012295460853062195,1.2371863376814338,-0.0008886884262418575,0.003931043662822949,0.3096132763426508,0.3064356994538838
3,0,1,1,200,2048,0.6213157364442095,0.62135009765625,3.436121204059006e-05,3.436121204054565e-05,0.00016123790237771807,0.012697948746853488,0.0001496268063739667,1.0776003731225232,0.0008978805666059324,0.03826924573101527,-0.001725452360925499,0.0017941747850065903,0.3302152240695666,0.3064356994538838
8,1,1,0,200,64,-0.07889545790470395,-0.085859375,-0.006963917095296049,-0.006963917095296046,0.008190359757773243,0.09050060639450569,0.0077638711462656804,1.0549324690573592,0.006399359248304959,-1.088220996053726,-0.01950643074610708,0.005578596555514987,0.5241830244974875,0.49688775336100355
8,1,1,0,200,128,-0.07889545790470395,-0.0817578125,-0.002862354595296046,-0.0028623545952960465,0.0036172546693428076,0.060143617029098005,0.0038819355731328402,0.9318172857834354,0.0042527959446361915,-0.6730524183522538,-0.011197681480380979,0.005472972289788887,0.4630085976758794,0.49688775336100355
8,1,1,0,200,256,-0.07889545790470395,-0.07607421875,0.0028212391547039473,0.002821239154703953,0.001667569031068428,0.04083587921262903,0.0019409677865664201,0.8591430741972098,0.002887532710696476,0.9770414528130028,-0.002838220962442455,0.008480699271850361,0.4268976719535176,0.49688775336100355
8,1,1,0,200,512,-0.07889545790470395,-0.077978515625,0.0009169422797039584,0.0009169422797039528,0.0009327006699451849,0.03054014849252022,0.0009704838932832101,0.9610676451206192,0.002159514609750516,0.4246057311044935,-0.0033156285794951287,0.005149513138903035,0.47754274301193467,0.49688775336100355
8,1,1,0,200,1024,-0.07889545790470395,-0.0777783203125,0.0011171375922039567,0.0011171375922039528,0.0004976349020723123,0.022307731889914587,0.00048524194664160503,1.0255397446912409,0.0015773948492250002,0.7082168378784935,-0.0019744995016760364,0.004208774686083942,0.5095781397220478,0.49688775336100355
8,1,1,0,200,2048,-0.07889545790470395,-0.07970947265625,-0.0008140147515460494,-0.0008140147515460472,0.0002261442095790077,0.015038091952738144,0.00024262097332080251,0.9320884607943245,0.001063353679588799,-0.7655164666010544,-0.0028981496663682375,0.001270120163276143,0.46314334121780776,0.49688775336100355
