k,slope,intercept,r2,n_points,M_var_min,M_var_max,M_var_mean,M_var_theory,slope_in_sanity_band
2,-0.9415900373561084,-1.0582411920745733,0.9948241114028659,6,0.3879455873115578,0.5332117128611809,0.49223368020113595,0.4824401390828101,True
3,-0.9576989914409556,-1.416331821686272,0.996964382981045,6,0.27733903894472367,0.3456892862751256,0.31225978729912585,0.3064356994538838,True
8,-1.0090436147690782,-0.6884051614046413,0.9968985534933433,6,0.4268976719535176,0.5241830244974875,0.4773922530131125,0.49688775336100355,True
